codigo,descricao,prod_url
77969BR-CP,BICA LAV ROW COMPON CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77969BR.png
77969BR-RGD,BICA LAV ROW COMPON RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77969BR.png
77990BR-4-BN,ALAV MIST LAV LEVER COMPON BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77990BR-4.png
77990BR-4-BL,ALAV MIST LAV LEVER COMPON BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77990BR-4.png
77990BR-4-CP,ALAV MIST LAV LEVER COMPON CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77990BR-4.png
77990BR-4-RGD,ALAV MIST LAV LEVER COMPON RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77990BR-4.png
77990BR-8-BN,ALAV MIST LAV OYL COMPON BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77990BR-8.png
77990BR-8-BL,ALAV MIST LAV OYL COMPON BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77990BR-8.png
77990BR-8-CP,ALAV MIST LAV OYL COMPON CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77990BR-8.png
77990BR-8-RGD,ALAV MIST LAV OYL COMPON RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77990BR-8.png
77990BR-9-BN,ALAV MIST LAV INDUSTRIAL COMPON BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77990BR-9.png
77990BR-9-BL,ALAV MIST LAV INDUSTRIAL COMPON BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77990BR-9.png
77990BR-9-CP,ALAV MIST LAV INDUSTRIAL COMPON  CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77990BR-9.png
77990BR-9-RGD,ALAV MIST LAV  INDUSTRIAL COMPON RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77990BR-9.png
77963BR-8A-BN,MIST MON LAV COMPON ROCKER BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77963BR-8A.png
77963BR-8A-BL,MIST MON LAV COMPON ROCKER BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77963BR-8A.png
77963BR-8A-CP,MIST MON LAV COMPON ROCKER CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77963BR-8A.png
77963BR-8A-RGD,MIST MON LAV COMPON ROCKER RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/77963BR-8A.png
T78018BR-4-BN,ACAB MIST MON CHUV COMPON BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78018BR-4.png
T78018BR-4-BL,ACAB MIST MON CHUV COMPON BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78018BR-4.png
T78018BR-4-CP,ACAB MIST MON CHUV COMPON CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78018BR-4.png
T78018BR-4-RGD,ACAB MIST MON CHUV COMPON RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78018BR-4.png
T78019BR-4-BN,ACAB MIST MON CHUV/BANH COMPON BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78019BR-4.png
T78019BR-4-BL,ACAB MIST MON CHUV/BANH COMPON BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78019BR-4.png
T78019BR-4-CP,ACAB MIST MON CHUV/BANH COMPON CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78019BR-4.png
T78019BR-4-RGD,ACAB MIST MON CHUV/BANH COMPON RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78019BR-4.png
T77974BR-9-CP,ACAB P/ MIST DE CHUV INDUSTRIAL CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T77974BR-9.png
T77974BR-9-BN,ACAB P/ MIST DE CHUV INDUSTRIAL BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T77974BR-9.png
T77974BR-9-BL,ACAB P/ MIST DE CHUV INDUSTRIAL BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T77974BR-9.png
T77974BR-9-RGD,ACAB P/ MIST DE CHUV INDUSTRIAL RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T77974BR-9.png
T77974BR-8-CP,ACAB P/ MIST DE CHUV OYL CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T77974BR-8.png
T77974BR-8-RGD,ACAB P/ MIST DE CHUV OYL BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T77974BR-8.png
T77974BR-4-BL,ACAB P/ MIST DE CHUV OYL RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T77974BR-4.png
T77974BR-4-BN,ACAB P/ MIST DE CHUV LEVER BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T77974BR-4.png
T78026BR-9-BN,ACAB VALV DESV CHUV COMPON INDUSTRIAL BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78026BR-9.png
T78026BR-9-BL,ACAB VALV DESV CHUV COMPON INDUSTRIAL BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78026BR-9.png
T78026BR-9-CP,ACAB VALV DESV CHUV COMPON INDUSTRIAL CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78026BR-9.png
T23897BR-9-CP,ACAB REG GAV/PRES INDUSTRIAL COMPON CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T23897BR-9.png
T23897BR-9-BL,ACAB REG GAV/PRES INDUSTRIAL COMPON BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T23897BR-9.png
T23897BR-9-BN,ACAB REG GAV/PRES INDUSTRIAL COMPON BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T23897BR-9.png
T23897BR-9-RGD,ACAB REG GAV/PRES INDUSTRIAL COMPON RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T23897BR-9.png
T78026BR-8-BN,ACAB VALV DESV CHUV COMPON OYL BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78026BR-8.png
T78026BR-8-BL,ACAB VALV DESV CHUV COMPON OYL BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78026BR-8.png
T78026BR-8-CP,ACAB VALV DESV CHUV COMPON OYL CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T78026BR-8.png
T23897BR-8-CP,ACAB REG GAV/PRES OYL COMPON CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T23897BR-8.png
T23897BR-8-BN,ACAB REG GAV/PRES OYL COMPON BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T23897BR-8.png
T23897BR-8-BL,ACAB REG GAV/PRES OYL COMPON BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T23897BR-8.png
